"","Citações","Publicações","Rt","Likes"
"1","@jairbolsonaro","laveamao","marilizpj","jairbolsonaro"
"2","@jdoriajr","andrehfo","luizguiprado","ComoEuRealmente"
"3","@folha","bocaonews","jairbolsonaro","isentoes2"
"4","@uol","agenciabrasil","ComoEuRealmente","leandroruschel"
"5","@lhmandetta","em_com","isentoes2","marilizpj"
"6","@cnnbrasil","portaluai","FlavioBolsonaro","gugachacra"
"7","@bolsonarosp","gabrielaitto","bernardopkuster","FlavioBolsonaro"
"8","@flaviobolsonaro","GKellyGBernardo","minsaude","gilmarmendes"
"9","@minsaude","sapo","folha","alexandregarcia"
"10","@uolnoticias","vinycostamiguel","jnascim","luizguiprado"
"11","@youtube","PlenoNews","rodriogosvs","rodriogosvs"
"12","@rodrigomaia","Ary_AntiPT","leandroruschel","bernardopkuster"
"13","@ronaldocaiado","COVID19BrUpdate","AiltonBenedito","folha"
"14","@veramagalhaes","Lilijuris","alexandregarcia","minsaude"
"15","@pastormalafaia","transitorj","CarlaZambelli38","CarlaZambelli38"
"16","@sf_moro","DemocraciaMZ","gilmarmendes","jnascim"
"17","@oatila","marioscand","HansRiverDoRio","AiltonBenedito"
"18","@wilsonwitzel","sulinformacao","gugachacra","CoronaVirusTime"
"19","@davialcolumbre","tribunapr","oatila","oatila"
"20","@rconstantino","BrasilEFE","FelipePedri","UOL"
"21","@bernardopkuster","jnascim","UOL","HansRiverDoRio"
"22","@blogdonoblat","folha","UOLNoticias","luscas"
"23","@redeglobo","tvbrasilgov","RaquelStasiaki","lucasrohan"
"24","@felipeneto","informeblu","tvbrasilgov","RaquelStasiaki"
"25","@o_antagonista","ForbesBR","GeorgMarques","FelipePedri"
"26","@jornalnacional","MJoanaDarc1","wrmendonca80","zdoficial"
"27","@leandroruschel","avozdobrasil","neologismo","GeorgMarques"
"28","@senadofederal","CoronaVirusTime","CoronaVirusTime","g1"
"29","@gugachacra","terrooestadoba","DomDasThreads","tvbrasilgov"
"30","@estadao","tvi24pt","PATRlOTAS","kaiquebritor"
"31","@lulaoficial","tvi24ultimas","essadebora","UOLNoticias"
"32","@aguedescartoon","JornalDestak","lucasrohan","nilmoretto"
"33","@g1","congemfoco","CNNBrasil","lhmandetta"
"34","@portalr7","Fabiana_102","lhmandetta","CNNBrasil"
"35","@patriciapillar","milla_pompa","leandrolyrarj","exercitooficial"
"36","@cafecomferri","UOL","kaiquebritor","bchartsnet"
"37","@camaradeputados","vquitoformiga","exercitooficial","DomDasThreads"
"38","@carlosbolsonaro","brasileirofirst","Ambev","legadaodamassa"
"39","@albuquerque_af","BRpaisdigital","LaurinhaBonoro","essadebora"
"40","@elpais_brasil","claramurta1","emmyliins","wrmendonca80"
"41","@heliobeltrao","EstimativasB","BrazilFight","cafecomferri"
"42","@renovamidia","MarliPe77960977","manaus_pop","Ambev"
"43","@ailtonbenedito","Publico","demori","sitemundonegro"
"44","@covid19","M_Martim","RenovaMidia","RenovaMidia"
"45","@globonews","otempo","JefinhoMenes","LaurinhaBonoro"
"46","@govbr","twitemecensura","subversiva","PATRlOTAS"
"47","@alexandregarcia","UOLNoticias","MajorVitorHugo","subversiva"
"48","@janainadobrasil","machadofnd","revistaforum","notisiago"
"49","@monicabergamo","AlineSFCarneiro","marcofeliciano","demori"
"50","@carlazambelli38","amgvs29","TheInterceptBr","karolpinheiro"
